,no.,date,time,source,destination,protocol,length,tcp_retransmission,flags,source_port,destination_port,seq,win,len,mss,ack
507,508,2020-11-02,22:43:09,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,7911,0,4096,0,1460,False
508,509,2020-11-02,22:43:15,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,32780,0,4096,0,1460,False
509,510,2020-11-02,22:43:20,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,163,0,1024,0,1460,False
510,511,2020-11-02,22:43:26,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,3301,0,1024,0,1460,False
511,512,2020-11-02,22:43:31,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,2200,0,4096,0,1460,False
512,513,2020-11-02,22:43:37,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,7070,0,3072,0,1460,False
513,514,2020-11-03,00:07:40,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,1065,0,3072,0,1460,False
514,515,2020-11-03,00:07:47,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,32776,0,3072,0,1460,False
515,516,2020-11-03,00:07:53,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,1259,0,2048,0,1460,False
516,517,2020-11-03,00:07:59,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,9595,0,2048,0,1460,False
517,518,2020-11-03,00:08:04,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,35500,0,2048,0,1460,False
518,519,2020-11-03,00:08:10,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,10082,0,2048,0,1460,False
519,520,2020-11-03,00:08:16,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,7,0,2048,0,1460,False
520,521,2020-11-03,00:08:21,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,2013,0,2048,0,1460,False
521,522,2020-11-03,00:08:27,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,464,0,3072,0,1460,False
522,523,2020-11-03,00:08:33,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,6025,0,1024,0,1460,False
523,524,2020-11-03,00:08:38,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,5730,0,2048,0,1460,False
524,525,2020-11-03,00:08:43,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,8021,0,3072,0,1460,False
525,526,2020-11-03,00:08:48,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,3517,0,1024,0,1460,False
526,527,2020-11-03,00:08:54,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,1088,0,4096,0,1460,False
527,528,2020-11-03,00:08:59,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,999,0,4096,0,1460,False
528,529,2020-11-03,01:31:15,64.13.134.52,172.16.0.8,TCP,60,True,"[SYN, ACK]",53,36050,0,5840,0,1380,1
529,530,2020-11-03,01:41:15,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36061,113,0,2048,0,1460,False
530,531,2020-11-03,01:41:21,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,7070,0,2048,0,1460,False
531,532,2020-11-03,01:41:26,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,2200,0,3072,0,1460,False
532,533,2020-11-03,01:41:32,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,3301,0,1024,0,1460,False
533,534,2020-11-03,01:41:38,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,163,0,2048,0,1460,False
534,535,2020-11-03,01:41:43,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,32780,0,2048,0,1460,False
535,536,2020-11-03,01:41:49,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,7911,0,2048,0,1460,False
536,537,2020-11-03,01:41:55,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,8100,0,1024,0,1460,False
537,538,2020-11-03,01:42:00,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,1862,0,2048,0,1460,False
538,539,2020-11-03,01:42:06,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,9944,0,4096,0,1460,False
539,540,2020-11-03,01:42:11,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,11111,0,4096,0,1460,False
540,541,2020-11-03,01:42:17,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,646,0,4096,0,1460,False
541,542,2020-11-03,01:42:24,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,5906,0,2048,0,1460,False
542,543,2020-11-03,01:42:29,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,2288,0,2048,0,1460,False
543,544,2020-11-03,01:42:35,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,1719,0,4096,0,1460,False
544,545,2020-11-03,01:42:40,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,9418,0,1024,0,1460,False
545,546,2020-11-03,01:42:46,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,10000,0,4096,0,1460,False
546,547,2020-11-03,01:42:52,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,20031,0,2048,0,1460,False
547,548,2020-11-03,01:42:58,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,4567,0,3072,0,1460,False
548,549,2020-11-03,01:43:05,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,8193,0,2048,0,1460,False
549,550,2020-11-03,01:43:11,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,1322,0,3072,0,1460,False
550,551,2020-11-03,01:43:16,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,3,0,2048,0,1460,False
551,552,2020-11-03,01:43:23,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,1761,0,3072,0,1460,False
552,553,2020-11-03,01:43:28,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,10566,0,4096,0,1460,False
553,554,2020-11-03,01:43:34,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,1169,0,4096,0,1460,False
554,555,2020-11-03,01:43:40,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,9220,0,1024,0,1460,False
555,556,2020-11-03,03:07:41,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,999,0,2048,0,1460,False
556,557,2020-11-03,03:07:50,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,1088,0,3072,0,1460,False
557,558,2020-11-03,03:07:56,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,3517,0,1024,0,1460,False
558,559,2020-11-03,03:08:02,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,8021,0,3072,0,1460,False
559,560,2020-11-03,03:08:07,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,5730,0,4096,0,1460,False
560,561,2020-11-03,03:08:13,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,6025,0,3072,0,1460,False
561,562,2020-11-03,03:08:19,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,464,0,3072,0,1460,False
562,563,2020-11-03,03:08:25,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,2013,0,4096,0,1460,False
563,564,2020-11-03,03:08:30,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,7,0,4096,0,1460,False
564,565,2020-11-03,03:08:36,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,10082,0,2048,0,1460,False
565,566,2020-11-03,03:08:41,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,35500,0,3072,0,1460,False
566,567,2020-11-03,03:08:47,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,9595,0,3072,0,1460,False
567,568,2020-11-03,03:08:53,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,1259,0,4096,0,1460,False
568,569,2020-11-03,03:08:59,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,32776,0,1024,0,1460,False
569,570,2020-11-03,03:09:04,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,1065,0,2048,0,1460,False
570,571,2020-11-03,03:10:16,64.13.134.52,172.16.0.8,TCP,60,False,"[RST, ACK]",113,36061,1,0,0,False,1
571,572,2020-11-03,03:13:03,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,212,0,3072,0,1460,False
572,573,2020-11-03,03:13:08,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,65129,0,3072,0,1460,False
573,574,2020-11-03,03:13:14,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,1185,0,4096,0,1460,False
574,575,2020-11-03,03:13:19,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,9009,0,3072,0,1460,False
575,576,2020-11-03,03:13:25,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,1248,0,1024,0,1460,False
576,577,2020-11-03,03:13:31,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,1058,0,2048,0,1460,False
577,578,2020-11-03,03:13:36,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,5988,0,1024,0,1460,False
578,579,2020-11-03,03:13:42,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,1277,0,2048,0,1460,False
579,580,2020-11-03,03:13:47,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,2126,0,1024,0,1460,False
580,581,2020-11-03,03:13:53,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,1216,0,4096,0,1460,False
581,582,2020-11-03,03:13:58,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,9091,0,3072,0,1460,False
582,583,2020-11-03,03:14:04,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,1455,0,4096,0,1460,False
583,584,2020-11-03,03:14:10,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,1009,0,2048,0,1460,False
584,585,2020-11-03,03:14:15,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,10001,0,4096,0,1460,False
585,586,2020-11-03,03:14:21,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,8292,0,2048,0,1460,False
586,587,2020-11-03,03:14:27,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,55600,0,3072,0,1460,False
587,588,2020-11-03,03:14:32,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,20005,0,3072,0,1460,False
588,589,2020-11-03,03:14:37,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,1036,0,3072,0,1460,False
589,590,2020-11-03,03:14:44,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,6106,0,1024,0,1460,False
590,591,2020-11-03,03:14:50,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,7201,0,4096,0,1460,False
591,592,2020-11-03,03:14:56,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,1053,0,4096,0,1460,False
592,593,2020-11-03,03:15:02,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,32774,0,3072,0,1460,False
593,594,2020-11-03,03:15:07,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,2998,0,2048,0,1460,False
594,595,2020-11-03,03:15:13,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,2047,0,4096,0,1460,False
595,596,2020-11-03,03:15:19,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,8200,0,4096,0,1460,False
596,597,2020-11-03,03:15:24,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,888,0,4096,0,1460,False
597,598,2020-11-03,03:15:30,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,34572,0,4096,0,1460,False
598,599,2020-11-03,03:15:35,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,1201,0,4096,0,1460,False
599,600,2020-11-03,03:15:41,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,9003,0,3072,0,1460,False
600,601,2020-11-03,03:15:47,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,3367,0,1024,0,1460,False
601,602,2020-11-03,03:15:52,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,2196,0,1024,0,1460,False
602,603,2020-11-03,03:15:58,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,2121,0,1024,0,1460,False
603,604,2020-11-03,03:16:03,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,5850,0,1024,0,1460,False
604,605,2020-11-03,03:16:09,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,7512,0,2048,0,1460,False
605,606,2020-11-03,03:16:15,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,1096,0,1024,0,1460,False
606,607,2020-11-03,04:19:39,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,9220,0,3072,0,1460,False
607,608,2020-11-03,04:19:45,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,1169,0,2048,0,1460,False
608,609,2020-11-03,04:19:50,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,10566,0,3072,0,1460,False
609,610,2020-11-03,04:19:56,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,1761,0,3072,0,1460,False
610,611,2020-11-03,04:20:02,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,3,0,3072,0,1460,False
611,612,2020-11-03,04:20:07,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,1322,0,4096,0,1460,False
612,613,2020-11-03,04:20:13,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,8193,0,3072,0,1460,False
613,614,2020-11-03,04:20:19,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,4567,0,4096,0,1460,False
614,615,2020-11-03,04:20:24,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,20031,0,2048,0,1460,False
615,616,2020-11-03,04:20:30,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,10000,0,2048,0,1460,False
616,617,2020-11-03,04:20:35,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,9418,0,3072,0,1460,False
617,618,2020-11-03,04:20:41,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,1719,0,3072,0,1460,False
618,619,2020-11-03,04:20:47,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,2288,0,4096,0,1460,False
619,620,2020-11-03,04:20:53,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,5906,0,2048,0,1460,False
620,621,2020-11-03,04:20:59,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,7100,0,4096,0,1460,False
621,622,2020-11-03,04:21:04,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,3851,0,4096,0,1460,False
622,623,2020-11-03,04:21:10,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,10180,0,4096,0,1460,False
623,624,2020-11-03,04:21:15,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,7001,0,2048,0,1460,False
624,625,2020-11-03,04:21:21,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,4449,0,1024,0,1460,False
625,626,2020-11-03,04:21:27,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,54328,0,4096,0,1460,False
626,627,2020-11-03,04:21:32,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,83,0,3072,0,1460,False
627,628,2020-11-03,04:21:38,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,1309,0,2048,0,1460,False
628,629,2020-11-03,04:21:43,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,8009,0,4096,0,1460,False
629,630,2020-11-03,04:21:48,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,4343,0,1024,0,1460,False
630,631,2020-11-03,04:21:54,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,9050,0,2048,0,1460,False
631,632,2020-11-03,04:29:39,64.13.134.52,172.16.0.8,TCP,60,True,"[SYN, ACK]",80,36050,0,5840,0,1380,1
632,633,2020-11-03,05:46:04,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,3905,0,2048,0,1460,False
633,634,2020-11-03,05:46:12,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,7625,0,4096,0,1460,False
634,635,2020-11-03,05:46:18,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,10004,0,1024,0,1460,False
635,636,2020-11-03,05:46:23,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,6779,0,4096,0,1460,False
636,637,2020-11-03,05:46:29,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,5999,0,2048,0,1460,False
637,638,2020-11-03,05:46:34,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,5810,0,3072,0,1460,False
638,639,2020-11-03,05:46:40,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,9101,0,3072,0,1460,False
639,640,2020-11-03,05:46:46,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,749,0,3072,0,1460,False
640,641,2020-11-03,05:46:52,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,1301,0,3072,0,1460,False
641,642,2020-11-03,05:46:57,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,8002,0,1024,0,1460,False
642,643,2020-11-03,05:47:03,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,8099,0,3072,0,1460,False
643,644,2020-11-03,05:47:09,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,3030,0,1024,0,1460,False
644,645,2020-11-03,05:47:14,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,1031,0,2048,0,1460,False
645,646,2020-11-03,05:47:20,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,2048,0,2048,0,1460,False
646,647,2020-11-03,05:47:25,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,6547,0,4096,0,1460,False
647,648,2020-11-03,05:49:38,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,1036,0,1024,0,1460,False
648,649,2020-11-03,05:49:44,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,20005,0,4096,0,1460,False
649,650,2020-11-03,05:49:50,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,55600,0,3072,0,1460,False
650,651,2020-11-03,05:49:55,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,8292,0,3072,0,1460,False
651,652,2020-11-03,05:50:01,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,10001,0,3072,0,1460,False
652,653,2020-11-03,05:50:07,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,1009,0,3072,0,1460,False
653,654,2020-11-03,05:50:12,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,1455,0,4096,0,1460,False
654,655,2020-11-03,05:50:18,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,9091,0,4096,0,1460,False
655,656,2020-11-03,05:50:24,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,1216,0,1024,0,1460,False
656,657,2020-11-03,05:50:30,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,2126,0,3072,0,1460,False
657,658,2020-11-03,05:50:36,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,1277,0,2048,0,1460,False
658,659,2020-11-03,05:50:42,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,5988,0,3072,0,1460,False
659,660,2020-11-03,05:50:48,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,1058,0,4096,0,1460,False
660,661,2020-11-03,05:50:54,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,1248,0,2048,0,1460,False
661,662,2020-11-03,05:50:59,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,9009,0,3072,0,1460,False
662,663,2020-11-03,05:51:05,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,1185,0,3072,0,1460,False
663,664,2020-11-03,05:51:10,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,65129,0,2048,0,1460,False
664,665,2020-11-03,05:51:16,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,212,0,1024,0,1460,False
665,666,2020-11-03,05:55:03,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,1096,0,4096,0,1460,False
666,667,2020-11-03,05:55:09,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,7512,0,3072,0,1460,False
667,668,2020-11-03,05:55:15,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,5850,0,3072,0,1460,False
668,669,2020-11-03,05:55:20,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,2121,0,1024,0,1460,False
669,670,2020-11-03,05:55:26,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,2196,0,1024,0,1460,False
670,671,2020-11-03,05:55:31,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,3367,0,2048,0,1460,False
671,672,2020-11-03,05:55:37,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,9003,0,1024,0,1460,False
672,673,2020-11-03,05:55:43,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,1201,0,1024,0,1460,False
673,674,2020-11-03,05:55:48,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,34572,0,2048,0,1460,False
674,675,2020-11-03,05:55:54,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,888,0,4096,0,1460,False
675,676,2020-11-03,05:56:00,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,8200,0,1024,0,1460,False
676,677,2020-11-03,05:56:05,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,2047,0,4096,0,1460,False
677,678,2020-11-03,05:56:11,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,2998,0,2048,0,1460,False
678,679,2020-11-03,05:56:17,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,32774,0,3072,0,1460,False
679,680,2020-11-03,05:56:23,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,1053,0,1024,0,1460,False
680,681,2020-11-03,05:56:28,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,7201,0,4096,0,1460,False
681,682,2020-11-03,05:56:34,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,6106,0,1024,0,1460,False
682,683,2020-11-03,06:58:04,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,9050,0,3072,0,1460,False
683,684,2020-11-03,06:58:09,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,4343,0,1024,0,1460,False
684,685,2020-11-03,06:58:15,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,8009,0,3072,0,1460,False
685,686,2020-11-03,06:58:20,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,1309,0,1024,0,1460,False
686,687,2020-11-03,06:58:26,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,83,0,3072,0,1460,False
687,688,2020-11-03,06:58:31,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,54328,0,2048,0,1460,False
688,689,2020-11-03,06:58:37,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,4449,0,4096,0,1460,False
689,690,2020-11-03,06:58:43,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,7001,0,4096,0,1460,False
690,691,2020-11-03,06:58:48,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,10180,0,2048,0,1460,False
691,692,2020-11-03,06:58:54,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,3851,0,1024,0,1460,False
692,693,2020-11-03,06:58:59,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,7100,0,1024,0,1460,False
693,694,2020-11-03,06:59:06,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,1218,0,2048,0,1460,False
694,695,2020-11-03,06:59:12,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,19315,0,3072,0,1460,False
695,696,2020-11-03,06:59:17,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,19842,0,1024,0,1460,False
696,697,2020-11-03,06:59:23,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,3546,0,3072,0,1460,False
697,698,2020-11-03,06:59:28,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,1086,0,3072,0,1460,False
698,699,2020-11-03,06:59:34,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,1052,0,3072,0,1460,False
699,700,2020-11-03,06:59:40,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,3995,0,4096,0,1460,False
700,701,2020-11-03,06:59:46,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,4900,0,4096,0,1460,False
701,702,2020-11-03,06:59:52,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,30000,0,4096,0,1460,False
702,703,2020-11-03,06:59:58,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,42,0,3072,0,1460,False
703,704,2020-11-03,07:00:03,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,51493,0,2048,0,1460,False
704,705,2020-11-03,07:00:09,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,8192,0,1024,0,1460,False
705,706,2020-11-03,07:00:15,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,1271,0,4096,0,1460,False
706,707,2020-11-03,07:00:20,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,16016,0,3072,0,1460,False
707,708,2020-11-03,08:24:28,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,6547,0,2048,0,1460,False
708,709,2020-11-03,08:24:33,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,2048,0,3072,0,1460,False
709,710,2020-11-03,08:24:39,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,1031,0,4096,0,1460,False
710,711,2020-11-03,08:24:44,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,3030,0,3072,0,1460,False
711,712,2020-11-03,08:24:50,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,8099,0,2048,0,1460,False
712,713,2020-11-03,08:24:55,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,8002,0,2048,0,1460,False
713,714,2020-11-03,08:25:01,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,1301,0,3072,0,1460,False
714,715,2020-11-03,08:25:07,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,749,0,2048,0,1460,False
715,716,2020-11-03,08:25:12,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,9101,0,4096,0,1460,False
716,717,2020-11-03,08:25:18,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,5810,0,3072,0,1460,False
717,718,2020-11-03,08:25:23,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,5999,0,2048,0,1460,False
718,719,2020-11-03,08:25:29,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,6779,0,1024,0,1460,False
719,720,2020-11-03,08:25:35,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,10004,0,3072,0,1460,False
720,721,2020-11-03,08:25:41,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,7625,0,3072,0,1460,False
721,722,2020-11-03,08:25:46,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,3905,0,3072,0,1460,False
722,723,2020-11-03,08:25:52,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,1083,0,4096,0,1460,False
723,724,2020-11-03,08:25:58,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,8701,0,1024,0,1460,False
724,725,2020-11-03,08:26:04,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,3390,0,4096,0,1460,False
